Site Number,Site Name,Country,City,State,Zip,Status
041,Texas Institute for Neuroogical Disorders-Sherman-Site Number:8400151,United States,Sherman,Texas,75092,Completed
042,Neurological Associates-Site Number:8400097,United States,Richmond,Virginia,23229,Completed
043,Wheaton Franciscan Healthcare-Site Number:8400022,United States,Milwaukee,Wisconsin,53215,Completed
044,Investigational Site Number :0320004,Argentina,CABA,Buenos Aires,C1023AAB,Completed
045,Investigational Site Number :0320002,Argentina,Capital Federal,Buenos Aires,1012,Completed
046,Investigational Site Number :0320001,Argentina,CABA,Buenos Aires F.D.,C1061,Completed
047,Investigational Site Number :0320003,Argentina,Rosario,Santa Fe Province,2000,Completed
048,Investigational Site Number :0320005,Argentina,San Miguel de Tucumán,,T4000AXL,Completed
049,Investigational Site Number :0560005,Belgium,Bruges,,B-8000,Completed
050,Investigational Site Number :0560004,Belgium,Ghent,,9000,Completed
051,Investigational Site Number :0560002,Belgium,Mons,,7000,Completed
052,Investigational Site Number :0560001,Belgium,Overpelt,,3900,Completed
053,Investigational Site Number :0760001,Brazil,Porto Alegre,Rio Grande do Sul,90610-000,Completed
054,Investigational Site Number :0760002,Brazil,Curitiba,,81210-310,Completed
055,Investigational Site Number :0760007,Brazil,São Paulo,,01228-000,Completed
056,Investigational Site Number :1240002,Canada,Edmonton,Alberta,T6G 2C8,Completed
057,Investigational Site Number : 1240012,Canada,Hamilton,Ontario,L8L 2X2,Completed
058,Investigational Site Number :1240014,Canada,London,Ontario,N6A 5A5,Completed
059,Investigational Site Number :1240005,Canada,Greenfield Park,Quebec,J4V 2J2,Completed
060,Investigational Site Number :1240006,Canada,Gatineau,,J8Y1W2,Completed
061,Investigational Site Number :1240021,Canada,Québec,,G1W 4R4,Completed
062,Investigational Site Number :1520002,Chile,Santiago,Reg Metropolitana de Santiago,7650568,Completed
063,Investigational Site Number :1520005,Chile,Santiago,Reg Metropolitana de Santiago,833-0024,Completed
064,Investigational Site Number :1520001,Chile,Santiago,Reg Metropolitana de Santiago,8380456,Completed
065,Investigational Site Number :1520003,Chile,Santiago,Reg Metropolitana de Santiago,8431657,Completed
066,Investigational Site Number :1520006,Chile,Concepción,,,Completed
067,Investigational Site Number :1520004,Chile,Valdivia,,5110683,Completed
068,Investigational Site Number :1910001,Croatia,Zagreb,,10000,Completed
069,Investigational Site Number :1910002,Croatia,Zagreb,,10000,Completed
070,Investigational Site Number :1910003,Croatia,Zagreb,,10000,Completed
071,Investigational Site Number :2030002,Czechia,Brno,,65691,Completed
072,Investigational Site Number :2030011,Czechia,Hradec Králové,,50005,Completed
073,Investigational Site Number :2030001,Czechia,Jihlava,,58633,Completed
074,Investigational Site Number :2030008,Czechia,Prague,,10034,Completed
075,Investigational Site Number :2030005,Czechia,Praha 5 - Motol,,15006,Completed
076,Investigational Site Number :2500019,France,Besançon,,25000,Completed
077,Investigational Site Number :2500018,France,Bordeaux,,,Completed
078,Investigational Site Number :2500011,France,Bron,,69500,Completed
079,Investigational Site Number :2500005,France,Clermont-Ferrand,,63003,Completed
080,Investigational Site Number :2500006,France,Montpellier,,34295,Completed
081,Investigational Site Number :2500010,France,Nantes,,44093,Completed
082,Investigational Site Number :2500002,France,Nice,,06002,Completed
083,Investigational Site Number :2500017,France,Nîmes,,30029,Completed
084,Investigational Site Number :2500007,France,Paris,,75019,Completed
085,Investigational Site Number :2500004,France,Poissy,,78300,Completed
086,Investigational Site Number :2500003,France,Rennes,,35033,Completed
087,Investigational Site Number :2500001,France,Strasbourg,,67098,Completed
088,Investigational Site Number :2760005,Germany,Bayreuth,,95445,Completed
089,Investigational Site Number :2760015,Germany,Berlin,,10713,Completed
090,Investigational Site Number :2760014,Germany,Berlin,,12099,Completed
091,Investigational Site Number :2760020,Germany,Bochum,,44791,Completed
092,Investigational Site Number :2760012,Germany,Essen,,45147,Completed
093,Investigational Site Number :2760003,Germany,Würzburg,,97070,Completed
094,Investigational Site Number :3000001,Greece,Athens,,115 28,Completed
095,Investigational Site Number :3000006,Greece,Athens,,11535,Completed
096,Investigational Site Number :3000002,Greece,Athens,,12462,Completed
097,Investigational Site Number :3000007,Greece,Athens,,15125,Completed
098,Investigational Site Number :3000009,Greece,Athens,,,Completed
099,Investigational Site Number :3000004,Greece,Larissa,,41110,Completed
100,Investigational Site Number :3000003,Greece,Thessaloniki,,546 36,Completed
101,Investigational Site Number :3480105,Hungary,Budapest,,1135,Completed
102,Investigational Site Number :3480102,Hungary,Budapest,,1145,Completed
103,Investigational Site Number :3480106,Hungary,Kaposvár,,7400,Completed
104,Investigational Site Number :3480103,Hungary,Tatabánya,,2800,Completed
105,Investigational Site Number :3560005,India,Chandigarh,,160012,Completed
106,Investigational Site Number :3560007,India,Gurgaon,,122001,Completed
107,Investigational Site Number :3560008,India,Gurgaon,,122002,Completed
108,Investigational Site Number :3560002,India,New Delhi,,110060,Completed
109,Investigational Site Number :3560004,India,Thiruvananthapuram,,695004,Completed
110,Investigational Site Number :3760002,Israel,Ashkelon,,78278,Completed
111,Investigational Site Number :3760003,Israel,Haifa,,31096,Completed
112,Investigational Site Number :3760006,Israel,Rehovot,,76100,Completed
113,Investigational Site Number :3760004,Israel,Safed,,13100,Completed
114,Investigational Site Number :3760001,Israel,Tel Litwinsky,,52621,Completed
115,Investigational Site Number :4280002,Latvia,Riga,,LV-1002,Completed
116,Investigational Site Number :4280003,Latvia,Riga,,LV-1005,Completed
117,Investigational Site Number :5280001,Netherlands,Amsterdam,,1081 GN,Completed
118,Investigational Site Number :5780002,Norway,Namsos,,7800,Completed
119,Investigational Site Number :5780001,Norway,Oslo,,0450,Completed
120,Investigational Site Number :6200001,Portugal,Braga,,4710-243,Completed
121,Investigational Site Number :6200005,Portugal,Coimbra,,3000-075,Completed
122,Investigational Site Number :6200011,Portugal,Lisbon,,1162-050,Completed
123,Investigational Site Number :6200006,Portugal,Lisbon,,1649-035,Completed
124,Investigational Site Number :6200002,Portugal,Matosinhos Municipality,,4464-513,Completed
125,Investigational Site Number :6200010,Portugal,Porto,,4099-001,Completed
126,Investigational Site Number :6200004,Portugal,Santa Maria da Feira,,4520-211,Completed
127,San Juan MS Center-Site Number:8400015,Puerto Rico,Guaynabo,,00969,Completed
128,Investigational Site Number :6430006,Russia,Barnaul,,656024,Completed
129,Investigational Site Number :6430013,Russia,Bryansk,,241033,Completed
130,Investigational Site Number :6430001,Russia,Kazan',,420021,Completed
131,Investigational Site Number :6430010,Russia,Kirov,,610998,Completed
132,Investigational Site Number :6430007,Russia,Moscow,,117997,Completed
133,Investigational Site Number :6430005,Russia,Moscow,,127015,Completed
134,Investigational Site Number :6430003,Russia,Novosibirsk,,630087,Completed
135,Investigational Site Number :6430014,Russia,Saint Petersburg,,192242,Completed
136,Investigational Site Number :6430004,Russia,Saint Petersburg,,197022,Completed
137,Investigational Site Number :6430002,Russia,Saint Petersburg,,197110,Completed
138,Investigational Site Number :6430011,Russia,Saransk,,430032,Completed
139,Investigational Site Number :6430012,Russia,Yekaterinburg,,620102,Completed
140,Investigational Site Number :6880001,Serbia,Belgrade,,11000,Completed
141,Investigational Site Number :6880003,Serbia,Belgrade,,11000,Completed
142,Investigational Site Number :6880006,Serbia,Belgrade,,11000,Completed
143,Investigational Site Number :6880002,Serbia,Kragujevac,,34000,Completed
144,Investigational Site Number :6880004,Serbia,Niš,,18000,Completed
145,Investigational Site Number :6880005,Serbia,Novi Sad,,21000,Completed
146,Investigational Site Number :7030001,Slovakia,Bratislava,,82606,Completed
147,Investigational Site Number :7030002,Slovakia,Martin,,03659,Completed
148,Investigational Site Number :7030004,Slovakia,Nitra,,950 01,Completed
149,Investigational Site Number :4100001,South Korea,Goyang-si,Gyeonggi-do,10408,Completed
150,Investigational Site Number :4100003,South Korea,Seoul,Seoul-teukbyeolsi,03080,Completed
151,Investigational Site Number :4100006,South Korea,Seoul,Seoul-teukbyeolsi,03722,Completed
152,Investigational Site Number :4100002,South Korea,Seoul,Seoul-teukbyeolsi,06351,Completed
153,Investigational Site Number :7240011,Spain,Seville,Andalusia,41009,Completed
154,Investigational Site Number :7240006,Spain,Barcelona,Barcelona [Barcelona],08036,Completed
155,Investigational Site Number :7240009,Spain,Barakaldo,Bizkaia,48903,Completed
156,Investigational Site Number :7240004,Spain,Salt,Girona [Gerona],17190,Completed
157,Investigational Site Number :7240013,Spain,Las Palmas de Gran Canaria,Las Palmas,35010,Completed
158,Investigational Site Number :7240008,Spain,A Coruña,,15006,Completed
159,Investigational Site Number :7240007,Spain,L'Hospitalet de Llobregat,,08907,Completed
160,Investigational Site Number :7240005,Spain,Lleida,,25198,Completed
161,Investigational Site Number :7240003,Spain,Madrid,,28007,Completed
162,Investigational Site Number :7240001,Spain,Madrid,,28034,Completed
163,Investigational Site Number :7240002,Spain,Madrid,,28040,Completed
164,Investigational Site Number :7240010,Spain,Málaga,,29010,Completed
165,Investigational Site Number :7240012,Spain,Pozuelo de Alarcón,,28223,Completed
166,Investigational Site Number :7560003,Switzerland,Aarau,,5001,Completed
167,Investigational Site Number :7560002,Switzerland,Bern,,3010,Completed
168,Investigational Site Number :7560004,Switzerland,Lugano,,6903,Completed
169,Investigational Site Number :7920002,Turkey (Türkiye),Ankara,,06100,Completed
170,Investigational Site Number :7920005,Turkey (Türkiye),Besevler / Ankara,,06500,Completed
171,Investigational Site Number :7920006,Turkey (Türkiye),Istanbul,,34896,Completed
172,Investigational Site Number :7920004,Turkey (Türkiye),Kuttahta,,43100,Completed
173,Investigational Site Number :7920001,Turkey (Türkiye),Samsun,,,Completed
174,Investigational Site Number :7920003,Turkey (Türkiye),Trabzon,,61080,Completed
175,Investigational Site Number :8040020,Ukraine,Chernihiv,,14029,Completed
176,Investigational Site Number :8040002,Ukraine,Chernivtsi,,58000,Completed
177,Investigational Site Number :8040019,Ukraine,Chernivtsi,,58023,Completed
178,Investigational Site Number :8040005,Ukraine,Dnipro,,49005,Completed
179,Investigational Site Number :8040022,Ukraine,Kharkiv,,61103,Completed
180,Investigational Site Number :8040018,Ukraine,Kharkiv,,61166,Completed
181,Investigational Site Number :8040007,Ukraine,Kyiv,,02091,Completed
182,Investigational Site Number :8040006,Ukraine,Lviv,,79013,Completed
183,Investigational Site Number :8040003,Ukraine,Vinnytsia,,21050,Completed
184,Investigational Site Number :8260003,United Kingdom,Exeter,Devon,EX2 5DW,Completed
185,Investigational Site Number :8260016,United Kingdom,Canterbury,Kent,CT1 3NG,Completed
186,Investigational Site Number :8260009,United Kingdom,Bristol,,BS10 5NB,Completed
