Site Number,Site Name,Country,City,State,Zip,Status
106,Local Institution - 0023,Poland,Gdansk,,80952,Completed
107,Local Institution - 0056,Poland,Warsaw,,02-781,Completed
108,Local Institution - 0045,Poland,Wroclaw,,50-556,Completed
109,Local Institution - 0096,Russia,Moscow,,115478,Completed
110,Local Institution - 0013,Singapore,Singapore,,168583,Completed
111,Local Institution - 0014,Singapore,Singapore,,308433,Completed
112,Local Institution - 0117,South Korea,Seoul,Seocho-gu,06591,Completed
113,Local Institution - 0125,South Korea,Daegu,,41944,Completed
114,Local Institution - 0116,South Korea,Goyang-si,,10408,Completed
115,Local Institution - 0118,South Korea,Jeollanam-do,,58128,Completed
116,Local Institution - 0123,South Korea,Seoul,,03080,Completed
117,Local Institution - 0119,South Korea,Seoul,,03722,Completed
118,Local Institution - 0122,South Korea,Seoul,,05505,Completed
119,Local Institution - 0124,South Korea,Seoul,,06351,Completed
120,Local Institution - 0065,Spain,Alicante,,03010,Completed
121,Local Institution - 0085,Spain,Majadahonda - Madrid,,28222,Completed
122,Local Institution - 0009,Spain,Pamplona,,31008,Completed
123,Local Institution - 0010,Spain,Santiago Compostela,,15706,Completed
124,Local Institution - 0088,Sweden,Gothenburg,,413 45,Completed
125,Local Institution - 0087,Sweden,Stockholm,,141 86,Completed
126,Local Institution - 0040,Switzerland,Basel,,4031,Completed
127,Local Institution - 0041,Switzerland,Bern,,3010,Completed
128,Local Institution - 0129,Taiwan,Kaohsiung County,,83301,Completed
129,Local Institution - 0133,Taiwan,Taichung,,40447,Completed
130,Local Institution - 0121,Taiwan,Tainan,,704,Completed
131,Local Institution - 0132,Taiwan,Tainan,,736,Completed
132,Local Institution - 0099,Taiwan,Taipei,,10002,Completed
133,Local Institution - 0120,Taiwan,Taipei,,11217,Completed
134,Local Institution - 0128,Taiwan,Taoyuan,,33305,Completed
135,Local Institution - 0080,United Kingdom,London,Greater London,NW3 2QG,Completed
136,Local Institution - 0078,United Kingdom,London,Greater London,SE5 9RS,Completed
137,Local Institution - 0079,United Kingdom,Glasgow,Lanarkshire,G12 0YN,Completed
138,Local Institution - 0081,United Kingdom,Liverpool,,L7 8YA,Completed
